Nama Wisata,Deskripsi,Lokasi / Tempat,Fasilitas Yang Tersedia,Aksesibilitas,Jenis Wisata,Kategori,Child Friendly,Alamat,Link Alamat,Harga,Rentang Harga,Rating,latitude,longitude
Pantai Bajulmati,"Pantai Bajulmati terletak di Desa Gajahrejo, Kecamatan Gedangan, Malang, Jawa Timur. Pantai ini terkenal dengan formasi batu karang yang menyerupai buaya, sehingga dinamai ""Bajulmati"" yang berarti buaya mati dalam bahasa Jawa. Pasir putih yang lembut dan air laut yang jernih menambah daya tarik pantai ini. Ombak di pantai ini cukup besar, cocok untuk surfing. Fasilitas yang tersedia di Pantai Bajulmati meliputi area parkir dan warung makan.","Desa Gajahrejo, Gedangan","Tempat parkir, Warung makan, Toilet, Mushola, Area camping","aspal, kendaraan roda2 dan 4",Pantai,"Family, Solo",Yes,"Umbulrejo, Gajahrejo, Gedangan, Kabupaten Malang, East Java","https://www.google.com/maps/place/Pantai+Bajulmati/@-8.4369442,112.6416667,15z/data=!3m1!4b1!4m6!3m5!1s0x2dd601c73c7f79d9:0x8c0c5a27414c17b7!8m2!3d-8.4369444!4d112.6416667!16s%2Fg%2F1q620sbs6?entry=ttu",10000,2,4.4,-8.4369442,112.6416667
Pantai Batu Bengkung,"Pantai Batu Bengkung berlokasi di Desa Gajahrejo, Kecamatan Gedangan, Malang, Jawa Timur. Pantai ini terkenal dengan formasi batu karang yang membentuk laguna alami saat air laut surut. Pasir putih yang lembut dan air laut yang jernih membuat pantai ini tempat yang ideal untuk bersantai dan menikmati pemandangan alam. Ombak di pantai ini cukup besar, sehingga cocok untuk surfing. Fasilitas di pantai ini termasuk area parkir dan warung makan.","Desa Gajahrejo, Gedangan","Tempat parkir, Warung makan, Toilet, Mushola, Area camping","makadam, kendaraan roda 2 dan 4",Pantai,"Family, Solo",Yes,"Hutan, Gajahrejo, Gedangan, Kabupaten Malang, East Java 65178","https://www.google.com/maps/place/Pantai+Batu+Bengkung/@-8.4301875,112.6151875,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd60351965c9241:0x635e1d765e6cfbaa!8m2!3d-8.4301875!4d112.6151875!16s%2Fg%2F11gl3r5233?entry=ttu",10000,2,4.7,-8.4301875,112.6151875
Pantai Gua Cina,"Pantai Gua Cina terletak di Desa Sitiarjo, Kecamatan Sumbermanjing Wetan, Malang, Jawa Timur. Pantai ini terkenal dengan gua yang berada di tebing karang, di mana konon dahulu dihuni oleh seorang biksu Cina. Pasir putih yang lembut dan air laut yang jernih menambah daya tarik pantai ini. Ombak di pantai ini cukup besar, sehingga cocok untuk surfing. Fasilitas yang tersedia di Pantai Gua Cina meliputi area parkir dan warung makan.","Desa Gajahrejo, Gedangan","Tempat parkir, Warung makan, Toilet, Mushola, Gua cina, banana boat, jetski, snorkeling","makadam, kendaraan roda 2 dan 4",Pantai,"Family, Solo",Yes,"Tambak, Sitiarjo, Kec. Sumbermanjing Wetan, Kabupaten Malang, Jawa Timur 65176","https://www.google.com/maps/place/Pantai+Goa+Cina/@-8.4471189,112.6411553,15z/data=!3m1!4b1!4m6!3m5!1s0x2dd601bb17a67b0f:0x5ed5dfe1819fb3fd!8m2!3d-8.4471192!4d112.6514551!16s%2Fg%2F1pzsg_vz9?hl=id&entry=ttu",15000,2,4.4,-8.4471189,112.6411553
Pantai Jailangkung,"Pantai Jailangkung berlokasi di Desa Tambakrejo, Kecamatan Sumbermanjing Wetan, Malang, Jawa Timur. Pantai ini memiliki pasir putih yang luas dan air laut yang biru jernih, menciptakan pemandangan yang sangat mempesona. Dikelilingi oleh perbukitan dan pepohonan hijau, pantai ini menawarkan suasana yang tenang dan damai. Ombak di pantai ini cukup besar, cocok untuk para penggemar surfing. Fasilitas yang tersedia di Pantai Jailangkung meliputi area parkir dan warung makan, membuatnya nyaman bagi pengunjung.","Desa Gajahrejo, Gedangan","Tempat parkir, Warung makan, Toilet, Mushola, Area camping","makadam, kendaraan roda 2 dan 4",Pantai,"Family, Solo",Yes,"HJCH+PCF, pantai jolangkung, Gajahrejo, Gedangan, Hutan, Gajahrejo, Gedangan, Kabupaten Malang, Jawa Timur 65178","https://www.google.com/maps/place/Pantai+Jolangkung+%EA%A6%A5%EA%A6%BC%EA%A6%B1%EA%A6%B6%EA%A6%B1%EA%A6%B6%EA%A6%82%EA%A6%97%EA%A6%BA%EA%A6%B4%EA%A6%AD%EA%A6%94%EA%A7%80%EA%A6%8F%EA%A6%B8%EA%A6%81/@-8.4281993,112.6285449,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd601e6f694bd5b:0x2ec34f1a5b395e02!8m2!3d-8.4281993!4d112.6285449!16s%2Fg%2F1q61c1pq0?hl=id&entry=ttu",0,0,4.5,-8.4281993,112.6285449
Pantai Kletakan,"Pantai Kletakan terletak di Desa Sumberbening, Kecamatan Bantur, Malang, Jawa Timur. Pantai ini terkenal dengan keindahan pasir putihnya dan air laut yang biru kehijauan, cocok untuk berenang dan snorkeling. Dikelilingi oleh tebing-tebing tinggi dan hutan bakau, Pantai Kletakan menawarkan pemandangan yang menakjubkan dan suasana yang asri. Ombak di pantai ini cukup tenang, sehingga aman bagi keluarga yang membawa anak-anak. Fasilitas yang tersedia termasuk area parkir dan beberapa warung makan.","Desa Sindurejo, Gedangan","Tempat parkir, Warung makan, Toilet, Mushola, Area camping","makadam, kendaraan roda 2 dan 4",Pantai,"Family, Solo",Yes,"Area Gn., Sidurejo, Gedangan, Kabupaten Malang, Jawa Timur 65178","https://www.google.com/maps/place/Pantai+Kletekan/@-8.4166192,112.5909387,15z/data=!3m1!4b1!4m6!3m5!1s0x2e78aa213accd98b:0x1eaa9d20f7b630f3!8m2!3d-8.4166194!4d112.5909387!16s%2Fg%2F11cmzk7qxf?hl=id&entry=ttu",10000,2,4.4,-8.4166192,112.5909387
Pantai Ngudel,"Pantai Ngudel berlokasi di Desa Sumberbening, Kecamatan Bantur, Malang, Jawa Timur. Pantai ini memiliki hamparan pasir putih yang luas dan air laut yang jernih, membuatnya ideal untuk berenang dan bermain air. Dikelilingi oleh perbukitan hijau, Pantai Ngudel menawarkan pemandangan yang mempesona dan suasana yang tenang. Ombak di pantai ini cukup besar, cocok untuk surfing. Fasilitas yang tersedia di pantai ini meliputi area parkir dan warung makan.","Desa Sindurejo, Gedangan","Tempat parkir, Warung makan, Toilet, Mushola, Area camping","makadam, kendaraan roda 2 dan 4",Pantai,"Family, Solo",Yes,"Area Gn., Sidurejo, Gedangan, Kabupaten Malang, Jawa Timur 65147","https://www.google.com/maps/place/Pantai+Ngudel/@-8.416189,112.5851449,17z/data=!3m1!4b1!4m6!3m5!1s0x2e78ab773edefb5f:0x52882c34777d7729!8m2!3d-8.416189!4d112.5851449!16s%2Fg%2F11sq935h4n?hl=id&entry=ttu",15000,2,4.7,-8.4161890,112.5851449
Pantai Nganteb,"Pantai Nganteb terletak di Desa Tumpakrejo, Kecamatan Gedangan, Malang, Jawa Timur. Pantai ini terkenal dengan pasir putihnya yang lembut dan air laut yang biru jernih, menciptakan pemandangan yang sangat indah. Ombak di pantai ini cukup besar, sehingga sering digunakan untuk kompetisi surfing. Pantai Nganteb juga menawarkan suasana yang tenang dan alami, ideal untuk bersantai dan menikmati keindahan alam. Fasilitas yang tersedia meliputi area parkir, toilet, dan warung makan.","Desa Tumpakrejo, Gedangan","Tempat parkir, Warung makan, Toilet, Mushola, Area camping","makadam, kendaraan roda 2 dan 4",Pantai,"Family, Solo",Yes,"HHVF+6GR, Unnamed Road, Area Gn., Sidurejo, Gedangan, Kabupaten Malang, Jawa Timur 65178","https://www.google.com/maps/place/Pantai+Ngantep/@-8.4076629,112.5741157,18z/data=!4m10!1m2!2m1!1spantai+nganteb!3m6!1s0x2e78a9de69da45d5:0xb0526eb738c87301!8m2!3d-8.4085818!4d112.5749999!15sCg5wYW50YWkgbmdhbnRlYpIBEnRvdXJpc3RfYXR0cmFjdGlvbuABAA!16s%2Fg%2F11h3tgfl_8?hl=id&entry=ttu",10000,2,4.6,-8.4076629,112.5741157
Pantai Ungapan,"Pantai Ungapan berlokasi di Desa Gajahrejo, Kecamatan Gedangan, Malang, Jawa Timur. Pantai ini menawarkan pemandangan yang memukau dengan pasir putih dan air laut yang biru kehijauan. Ombak di pantai ini cukup besar, cocok untuk aktivitas surfing. Dikelilingi oleh perbukitan dan pepohonan hijau, Pantai Ungapan menciptakan suasana yang asri dan menyegarkan. Fasilitas yang tersedia di pantai ini meliputi area parkir dan warung makan.","Desa Tumpakrejo, Gedangan","Tempat parkir, toilet, warung makan, gazebo, area camping, penyewaan peralatan camping, musholla","makadam, kendaraan roda 2 dan 4",Pantai,"Family, Solo",Yes,"HJ6R+VWF Pantai ungapan, Umbulrejo, Gajahrejo, Gedangan, Kabupaten Malang, Jawa Timur","https://www.google.com/maps/place/Pantai+Ungapan+%EA%A6%A5%EA%A6%BC%EA%A6%B1%EA%A6%B6%EA%A6%B1%EA%A6%B6%EA%A6%82%EA%A6%88%EA%A6%94%EA%A6%A5%EA%A6%A4%EA%A7%80/@-8.4378136,112.6423029,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd60105b460e281:0x337cf80f4192a67c!8m2!3d-8.4378136!4d112.6423029!16s%2Fg%2F11j6sn_jh9?hl=id&entry=ttu",15000,2,4.5,-8.4378136,112.6423029
Pantai Wonogoro,"Pantai Wonogoro terletak di Desa Tumpakrejo, Kecamatan Gedangan, Malang, Jawa Timur. Pantai ini memiliki pasir putih yang luas dan air laut yang jernih, membuatnya ideal untuk berenang dan bersantai. Dikelilingi oleh perbukitan dan hutan bakau, Pantai Wonogoro menawarkan suasana yang tenang dan alami. Ombak di pantai ini cukup besar, cocok untuk surfing. Fasilitas yang tersedia meliputi area parkir dan warung makan.","Desa Tumpakrejo, Gedangan","Tempat parkir, toilet, warung makan, gazebo, musholla","makadam, kendaraan roda 2 dan 4",Pantai,"Family, Solo",Yes,"Wonorogo, Tumpakrejo, Gedangan, Kabupaten Malang, Jawa Timur 65178","https://www.google.com/maps/place/Pantai+Wonogoro/@-8.4054295,112.5575321,15z/data=!4m10!1m2!2m1!1spantai+wonogoro+malang!3m6!1s0x2e78a979f7cc4ac7:0xf9dd9433607f481e!8m2!3d-8.4054295!4d112.5662868!15sChZwYW50YWkgd29ub2dvcm8gbWFsYW5nWhgiFnBhbnRhaSB3b25vZ29ybyBtYWxhbmeSAQViZWFjaJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSVU5IQkhXVGRSUlJBQuABAA!16s%2Fg%2F11cmh4dzwv?hl=id&entry=ttu",10000,2,4.5,-8.4054295,112.5575321
Pantai Perawan,"Pantai Perawan berlokasi di Desa Tambakrejo, Kecamatan Sumbermanjing Wetan, Malang, Jawa Timur. Pantai ini terkenal dengan keindahan alam yang masih asli dan belum banyak terjamah oleh wisatawan. Pasir putih yang lembut dan air laut yang jernih menjadikan pantai ini tempat yang ideal untuk bersantai dan menikmati keindahan alam. Ombak di pantai ini cukup tenang, cocok untuk berenang dan snorkeling. Fasilitas yang tersedia di Pantai Perawan meliputi area parkir dan warung makan sederhana.","Desa Sidoasri, Sumbermanjing Wetan","Tempat parkir, toilet, warung makan, gazebo, spot foto, musholla","makadam, kendaraan roda 2 dan 4",Pantai,"Family, Solo",Yes,"JQHF+9W7, Tambaksari Wetan, Sidoasri, Kec. Sumbermanjing Wetan, Kabupaten Malang, Jawa Timur","https://www.google.com/maps/place/Wisata+pantai+perawan/@-8.3715865,112.7660455,15z/data=!4m10!1m2!2m1!1spantai+perawan!3m6!1s0x2dd60595230697f3:0xd51f3f67bf3260da!8m2!3d-8.3715865!4d112.7748002!15sCg5wYW50YWkgcGVyYXdhbpIBEXNjdWJhX3RvdXJfYWdlbmN54AEA!16s%2Fg%2F11k4l5w1zv?hl=id&entry=ttu",5000,1,5,-8.3715865,112.7660455
Pantai Tambak Sari,"Pantai Tambak Sari terletak di Desa Sidoasri, Kecamatan Sumbermanjing Wetan, Malang, Jawa Timur. Pantai ini memiliki pasir putih yang luas dan air laut yang biru kehijauan, menciptakan pemandangan yang sangat mempesona. Ombak di pantai ini cukup besar, sehingga cocok untuk aktivitas surfing. Dikelilingi oleh perbukitan dan pepohonan hijau, Pantai Tambak Sari menawarkan suasana yang asri dan menyegarkan. Fasilitas di pantai ini meliputi area parkir dan warung makan.","Desa Sidoasri, Sumbermanjing Wetan","Tempat parkir, toilet, warung makan, gazebo, area bermain anak, musholla","makadam, kendaraan roda 2 dan 4",Pantai,"Family, Solo",Yes,"69XC+FR6, Pandean, Sukokerto, Kec. Pajarakan, Kabupaten Probolinggo, Jawa Timur 67281","https://www.google.com/maps/place/Pantai+Tambak+Sari/@-7.7513275,113.372016,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7aa7b60959d0f:0x1445d27e0bf8e861!8m2!3d-7.7513275!4d113.372016!16s%2Fg%2F11bv3mnvwq?hl=id&entry=ttu",10000,2,4,-7.7513275,113.3720160
Pantai Teluk Asmara,"Pantai Teluk Asmara berlokasi di Desa Tambakrejo, Kecamatan Sumbermanjing Wetan, Malang, Jawa Timur. Pantai ini terkenal dengan pemandangan alam yang memukau, dengan pasir putih yang lembut dan air laut yang jernih. Pantai ini dikelilingi oleh perbukitan hijau yang menambah keindahan alamnya. Ombak di pantai ini cukup besar, cocok untuk surfing dan aktivitas air lainnya. Fasilitas yang tersedia di Pantai Teluk Asmara meliputi area parkir dan warung makan.","Desa Sitiarjo, Sumbermanjing Wetan","Tempat parkir, toilet, warung makan, gazebo, area camping, penyewaan peralatan snorkeling, musholla","makadam, kendaraan roda 2 dan 4, bus",Pantai,"Family, Solo",Yes,"Tambak, Sitiarjo, Kec. Sumbermanjing Wetan, Kabupaten Malang, Jawa Timur 65176","https://www.google.com/maps/place/Pantai+Teluk+Asmara/@-8.44294222,112.6654655,15z/data=!3m1!4b1!4m6!3m5!1s0x2dd601b40a1c6d45:0x33697e2746fd1876!8m2!3d-8.4429424!4d112.6654655!16s%2Fg%2F11fy2vlq51?hl=id&entry=ttu",15000,2,4.5,-8.4429422,112.6654655
Pantai Watu Leter,"Pantai Watu Leter terletak di Desa Sitiarjo, Kecamatan Sumbermanjing Wetan, Malang, Jawa Timur. Pantai ini dikenal dengan batu karang besar yang menonjol di tepi pantai, memberikan pemandangan yang unik dan menarik. Pasir putih yang lembut dan air laut yang jernih menjadikan pantai ini tempat yang ideal untuk bersantai dan menikmati keindahan alam. Ombak di pantai ini cukup tenang, sehingga aman untuk berenang dan snorkeling. Fasilitas yang tersedia di Pantai Watu Leter meliputi area parkir dan warung makan.","Desa Sitiarjo, Sumbermanjing Wetan","Tempat parkir, toilet, warung makan, gazebo, spot surfing, penyewaan papan selancar, musholla","makadam, kendaraan roda 2 dan 4, bus kecil",Pantai,"Family, Solo",Yes,"Rowotrate, Sitiarjo, Kec. Sumbermanjing Wetan, Kabupaten Malang, Jawa Timur 65176","https://www.google.com/maps/place/Pantai+Watu+Leter/@-8.4452263,112.6484049,15z/data=!3m1!4b1!4m6!3m5!1s0x2dd601b6a325532d:0x5f238efd0383409c!8m2!3d-8.4452265!4d112.6484049!16s%2Fg%2F1q6162c7j?hl=id&entry=ttu",10000,2,4.6,-8.4452263,112.6484049
Pantai Kali Apus/Pringapus,"Pantai Kali Apus atau Pantai Pringapus terletak di Desa Sidoasri, Kecamatan Sumbermanjing Wetan, Malang, Jawa Timur. Pantai ini menawarkan pemandangan alam yang asri dengan pasir putih dan air laut yang biru jernih. Dikelilingi oleh tebing-tebing karang dan pepohonan hijau, pantai ini memberikan suasana yang tenang dan damai. Ombak di pantai ini cukup tenang, cocok untuk berenang dan snorkeling. Fasilitas yang tersedia meliputi area parkir dan warung makan sederhana.","Desa Tambakrejo, Desa Tambakrejo, Sumbermanjing Wetan","Tempat parkir, toilet, warung makan, gazebo, area piknik, musholla","makadam, kendaraan roda 2 dan 4, bus, perahu",Pantai,"Family, Solo",Yes,"Tambakasri, Sumbermanjing, Hutan, Tambakasri, Malang, Kabupaten Malang, Jawa Timur 65176","https://www.google.com/maps/place/Pantai+Kali+Apus/@-8.4162598,112.7406294,15z/data=!3m1!4b1!4m6!3m5!1s0x2dd60697b7177beb:0x612e2c91771a0398!8m2!3d-8.41626!4d112.7406294!16s%2Fg%2F11cjj5_7b4?hl=id&entry=ttu",5000,1,4,-8.4162598,112.7406294
Pantai Bangsong,"Pantai Bangsong berlokasi di Desa Gajahrejo, Kecamatan Gedangan, Malang, Jawa Timur. Pantai ini memiliki pasir putih yang lembut dan air laut yang biru jernih, menciptakan suasana yang menenangkan dan mempesona. Dikelilingi oleh perbukitan hijau dan pepohonan, Pantai Bangsong menawarkan pemandangan alam yang indah. Ombak di pantai ini cukup besar, sehingga cocok untuk surfing. Fasilitas di pantai ini termasuk area parkir dan warung makan.","Desa Tambakrejo, Desa Tambakrejo, Sumbermanjing Wetan","Tempat parkir, toilet, warung makan, gazebo, spot memancing, musholla","makadam, kendaraan roda 2 dan 4, bus, perahu",Pantai,"Family, Solo",Yes,"Tambak, Tambakrejo, Kec. Sumbermanjing Wetan, Kabupaten Malang, Jawa Timur 65176","https://www.google.com/maps/place/Pantai+Bangsong/@-8.4431441,112.6639672,15z/data=!3m1!4b1!4m6!3m5!1s0x2dd601a90e517505:0x3c67ce754392c542!8m2!3d-8.4431443!4d112.6639672!16s%2Fg%2F11cmygbbls?hl=id&entry=ttu",10000,2,4.5,-8.4431441,112.6639672
Pantai Clungup,"Pantai Clungup terletak di Desa Sitiarjo, Kecamatan Sumbermanjing Wetan, Malang, Jawa Timur. Pantai ini terkenal dengan keindahan alamnya yang masih alami dan pasir putih yang bersih. Air laut yang jernih membuat pantai ini ideal untuk berenang dan snorkeling. Pantai Clungup juga menjadi bagian dari kawasan konservasi mangrove, sehingga suasana di sini sangat asri dan sejuk. Fasilitas yang tersedia meliputi area parkir dan warung makan.","Desa Tambakrejo, Desa Tambakrejo, Sumbermanjing Wetan","Tempat parkir, toilet, warung makan, gazebo, area camping, spot diving, musholla","makadam, kendaraan",Pantai,"Family, Solo",Yes,"Sendang Biru, Area Sawah/Kebun, Tambakrejo, Kec. Sumbermanjing Wetan, Kabupaten Malang, Jawa Timur","https://www.google.com/maps/place/Pantai+Clungup/@-8.4375313,112.6686107,15z/data=!3m1!4b1!4m6!3m5!1s0x2dd629d2c631ade9:0xe22f557488b232c9!8m2!3d-8.4375315!4d112.6686107!16s%2Fg%2F1q613vm8q?hl=id&entry=ttu",10000,2,4.5,-8.4375313,112.6686107
Pantai Gatra,"Pantai Gatra berlokasi di Desa Sendangbiru, Kecamatan Sumbermanjing Wetan, Malang, Jawa Timur. Pantai ini menawarkan pemandangan alam yang memukau dengan pasir putih yang luas dan air laut yang biru kehijauan. Dikelilingi oleh hutan mangrove dan perbukitan, Pantai Gatra memberikan suasana yang tenang dan alami. Ombak di pantai ini cukup tenang, cocok untuk berenang dan snorkeling. Fasilitas di pantai ini meliputi area parkir dan warung makan.","Desa Tambakrejo, Desa Tambakrejo, Sumbermanjing Wetan","Tempat parkir, toilet, warung makan, gazebo, area camping, penyewaan peralatan kayak, konservasi mangrove, musholla","makadam, kendaraan roda 2 dan 4, bus, perahu",Pantai,"Family, Solo",Yes,"Sendang Biru, Sitiarjo, Kabupaten Malang, Jawa Timur","https://www.google.com/maps/place/Pantai+Gatra/@-8.4426261,112.6696632,15z/data=!3m1!4b1!4m6!3m5!1s0x2dd61f66e0ba0c4b:0x8442d108027044bf!8m2!3d-8.4426263!4d112.6696632!16s%2Fg%2F11bx8h_ctw?hl=id&entry=ttu",10000,2,4.6,-8.4426261,112.6696632
Pantai Sendang Biru,"Pantai Sendang Biru terletak di Desa Tambakrejo, Kecamatan Sumbermanjing Wetan, Malang, Jawa Timur. Pantai ini terkenal sebagai pintu masuk menuju Pulau Sempu dan memiliki pasir putih yang lembut serta air laut yang jernih. Pantai ini juga merupakan pusat kegiatan nelayan setempat, sehingga pengunjung bisa menikmati hasil laut yang segar. Ombak di pantai ini cukup tenang, cocok untuk berenang dan snorkeling. Fasilitas yang tersedia termasuk area parkir, toilet, dan warung makan.","Desa Tambakrejo, Desa Tambakrejo, Sumbermanjing Wetan","Tempat parkir, toilet, warung makan, gazebo, penyewaan perahu, musholla","makadam, kendaraan roda 2 dan 4, bus, perahu",Pantai,"Family, Solo",Yes,"Kecamatan Sumber Manjing Wetan, Kabupaten Malang, Jawa Timur, tepatnya di bagian Selatan Malang.",https://www.google.com/search?q=pantai+sendang+biru&rlz=1C1GCEB_enID1101ID1101&oq=pantai+sendang&gs_lcrp=EgZjaHJvbWUqCggAEAAY4wIYgAQyCggAEAAY4wIYgAQyBwgBEC4YgAQyBwgCEAAYgAQyBggDEEUYOTIHCAQQABiABDIGCAUQRRg8MgYIBhBFGDwyBggHEEUYPKgCALACAA&sourceid=chrome&ie=UTF-8,17000,2,4.4,-8.4322215,112.6635671
Pantai Sendiki,"Pantai Sendiki berlokasi di Desa Tambakrejo, Kecamatan Sumbermanjing Wetan, Malang, Jawa Timur. Pantai ini menawarkan keindahan alam yang alami dengan pasir putih yang bersih dan air laut yang biru jernih. Dikelilingi oleh perbukitan dan pepohonan hijau, Pantai Sendiki memberikan suasana yang tenang dan menenangkan. Ombak di pantai ini cukup besar, cocok untuk surfing. Fasilitas di pantai ini meliputi area parkir dan warung makan.","Desa Tambakrejo, Desa Tambakrejo, Sumbermanjing Wetan","Tempat parkir, toilet, warung makan, gazebo, area camping, musholla","makadam, kendaraan roda 2 dan 4, bus, perahu",Pantai,"Family, Solo",Yes,"Area Sawah/Kebun, Tambakrejo, Kec. Sumbermanjing Wetan, Kabupaten Malang, Jawa Timur 65148","https://www.google.com/maps/place/Pantai+Sendiki/@-8.4168129,112.7259382,15z/data=!3m1!4b1!4m6!3m5!1s0x2dd606b06b49208d:0x6d83928eba11aac2!8m2!3d-8.4168131!4d112.7259382!16s%2Fg%2F11c2nt044_?hl=id&entry=ttu",10000,2,4.6,-8.4168129,112.7259382
Pantai Tamban,"Pantai Tamban terletak di Desa Tambakrejo, Kecamatan Sumbermanjing Wetan, Malang, Jawa Timur. Pantai ini memiliki pasir putih yang luas dan air laut yang biru jernih, menciptakan suasana yang damai dan mempesona. Dikelilingi oleh perbukitan hijau dan pepohonan, Pantai Tamban menawarkan pemandangan alam yang indah. Ombak di pantai ini cukup tenang, sehingga cocok untuk berenang dan snorkeling. Fasilitas di pantai ini termasuk area parkir dan warung makan.","Desa Tambakrejo, Desa Tambakrejo, Sumbermanjing Wetan","Tempat parkir, toilet, warung makan, gazebo, musholla","makadam, kendaraan roda 2 dan 4, bus, perahu",Pantai,"Family, Solo",Yes,"HPM6+347, Kp. Pantai, Tambakrejo, Kec. Sumbermanjing Wetan, Kabupaten Malang, Jawa Timur 65176","https://www.google.com/maps/place/Pantai+Tamban/@-8.4173275,112.7015489,15z/data=!4m10!1m2!2m1!1sPantai+tamban!3m6!1s0x2dd601e672b249b3:0xc366e39b9a660b89!8m2!3d-8.4173275!4d112.7103036!15sCg1QYW50YWkgdGFtYmFukgESdG91cmlzdF9hdHRyYWN0aW9u4AEA!16s%2Fg%2F1q60znmgs?hl=id&entry=ttu",5000,1,4.5,-8.4173275,112.7015489
Pantai Tiga Warna,"Pantai Tiga Warna berlokasi di Desa Sendangbiru, Kecamatan Sumbermanjing Wetan, Malang, Jawa Timur. Pantai ini terkenal dengan gradasi warna air lautnya yang mempesona, yaitu biru, hijau, dan putih. Dikelilingi oleh hutan mangrove dan perbukitan, Pantai Tiga Warna menawarkan pemandangan alam yang indah dan suasana yang tenang. Ombak di pantai ini cukup tenang, cocok untuk snorkeling dan diving. Fasilitas yang tersedia meliputi area parkir dan warung makan.","Desa Tambakrejo, Sumbermanjing Wetan","Tempat parkir, toilet, warung makan, gazebo, spot foto, area snorkeling, musholla","makadam, kendaraan roda 2 dan 4, bus, perahu",Pantai,"Family, Solo",Yes,"Jl. Sendang Biru, Area Sawah/Kebun, Tambakrejo, Kec. Sumbermanjing Wetan, Kabupaten Malang, Jawa Timur 65176","https://www.google.com/maps/place/Pantai+Tiga+Warna/@-8.4391426,112.6777942,15z/data=!3m1!4b1!4m6!3m5!1s0x2dd601147042ed43:0x3d8b26de55357956!8m2!3d-8.4391428!4d112.6777942!16s%2Fg%2F11g69z8gbb?hl=id&entry=ttu",100000,7,4.5,-8.4391426,112.6777942
Pantai Sipelot,"Pantai Sipelot terletak di Desa Pujiharjo, Kecamatan Tirtoyudo, Malang, Jawa Timur. Pantai ini menawarkan keindahan alam dengan pasir putih yang lembut dan air laut yang biru jernih. Dikelilingi oleh tebing-tebing tinggi dan hutan lebat, Pantai Sipelot memberikan suasana yang tenang dan alami. Ombak di pantai ini cukup besar, cocok untuk surfing. Fasilitas di pantai ini meliputi area parkir dan warung makan.","Desa Pujiharjo, Tirtoyudo","Tempat parkir, toilet, warung makan, gazebo, spot diving, musholla, penginapan","makadam, kendaraan roda 2 dan 4, bus kecil",Pantai,"Family, Solo",Yes,"Gunung, Pujiharjo, Kec. Tirtoyudo, Kabupaten Malang, Jawa Timur","https://www.google.com/maps/place/Pantai+Sipelot/@-8.3813887,112.8966667,15z/data=!3m1!4b1!4m6!3m5!1s0x2dd60ea4f76a7069:0x8f671d7046a67351!8m2!3d-8.3813889!4d112.8966667!16s%2Fg%2F11bbqy1357?hl=id&entry=ttu",10000,2,4.5,-8.3813887,112.8966667
Pantai Banyu Anjlok,"Pantai Banyu Anjlok berlokasi di Desa Purwodadi, Kecamatan Tirtoyudo, Malang, Jawa Timur. Pantai ini unik dengan adanya air terjun yang langsung mengalir ke laut, menciptakan pemandangan yang spektakuler. Pasir putih yang lembut dan air laut yang jernih menambah daya tarik pantai ini. Ombak di pantai ini cukup tenang, cocok untuk berenang dan snorkeling. Fasilitas yang tersedia meliputi area parkir dan warung makan.","Desa Purwodadi, Tirtoyudo","Tempat parkir, toilet, warung makan, gazebo, area camping, musholla","Jalan laut, Perahu",Pantai,"Family, Solo",Yes,"JRHC+5CC, Lenggoksono, Purwodadi, Kec. Tirtoyudo, Kabupaten Malang, Jawa Timur 65182","https://www.google.com/maps/place/Pantai+Banyu+Anjlok/@-8.3720682,112.8210105,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd60f5e99793a15:0x57be5ceb626e4b78!8m2!3d-8.3720682!4d112.8210105!16s%2Fg%2F11b6d00h4v?hl=id&entry=ttu",15000,2,4.5,-8.3720682,112.8210105
Pantai Bolu-Bolu,"Pantai Bolu-Bolu terletak di Desa Purwodadi, Kecamatan Tirtoyudo, Malang, Jawa Timur. Pantai ini terkenal dengan keindahan bawah lautnya yang kaya dengan terumbu karang dan ikan-ikan berwarna-warni, menjadikannya tempat yang ideal untuk snorkeling dan diving. Pasir putih yang lembut dan air laut yang jernih membuat pantai ini sangat mempesona. Dikelilingi oleh perbukitan hijau, Pantai Bolu-Bolu menawarkan suasana yang tenang dan alami. Fasilitas di pantai ini meliputi area parkir dan warung makan.","Desa Purwodadi, Tirtoyudo","Tempat parkir, toilet, warung makan, gazebo, area memancing, musholla, penginapan","Jalan laut, Perahu",Pantai,"Family, Solo",Yes,"Gunung, Purwodadi, Kec. Tirtoyudo, Kabupaten Malang, Jawa Timur 65182","https://www.google.com/maps/place/Pantai+Bolu+Bolu/@-8.3865499,112.8153517,15z/data=!3m1!4b1!4m6!3m5!1s0x2dd60f59722d0aa9:0xbb4c111ed712d25d!8m2!3d-8.3865501!4d112.8153517!16s%2Fg%2F11b6vd9c7g?hl=id&entry=ttu",50000,6,4.5,-8.3865499,112.8153517
